Permit Class,HousingUnits,Original Zip
R- 101 Single Family Houses,1,0
C- 104 Three & Four Family Bldgs,28,78613
C- 105 Five or More Family Bldgs,2145,78613
C- 105 Five or More Family Bldgs,950,78617
R- 101 Single Family Houses,1522,78617
R- 103 Two Family Bldgs,38,78617
R- 101 Single Family Houses,1,78641
R- 101 Single Family Houses,858,78652
R- 102 Secondary Apartment,1,78652
R- 101 Single Family Houses,990,78653
C- 103 Two Family Bldgs,38,78660
C- 105 Five or More Family Bldgs,3235,78660
R- 101 Single Family Houses,2234,78660
R- 103 Two Family Bldgs,172,78660
C- 105 Five or More Family Bldgs,4533,78701
C- 106 Mixed Use,1594,78701
R- 101 Single Family Houses,3,78701
R- 103 Two Family Bldgs,2,78701
C- 101 Single Family Houses,49,78702
C- 103 Two Family Bldgs,6,78702
C- 104 Three & Four Family Bldgs,112,78702
C- 105 Five or More Family Bldgs,6119,78702
C- 106 Mixed Use,504,78702
R- 101 Single Family Houses,1336,78702
R- 102 Secondary Apartment,674,78702
R- 103 Two Family Bldgs,382,78702
C- 101 Single Family Houses,25,78703
C- 103 Two Family Bldgs,10,78703
C- 104 Three & Four Family Bldgs,37,78703
C- 105 Five or More Family Bldgs,782,78703
C- 106 Mixed Use,521,78703
R- 101 Single Family Houses,712,78703
R- 102 Secondary Apartment,79,78703
R- 103 Two Family Bldgs,136,78703
C- 101 Single Family Houses,130,78704
C- 103 Two Family Bldgs,38,78704
C- 104 Three & Four Family Bldgs,172,78704
C- 105 Five or More Family Bldgs,7051,78704
C- 106 Mixed Use,1261,78704
R- 101 Single Family Houses,1457,78704
R- 102 Secondary Apartment,317,78704
R- 103 Two Family Bldgs,740,78704
C- 101 Single Family Houses,10,78705
C- 103 Two Family Bldgs,4,78705
C- 104 Three & Four Family Bldgs,204,78705
C- 105 Five or More Family Bldgs,7710,78705
C- 106 Mixed Use,388,78705
R- 101 Single Family Houses,107,78705
R- 102 Secondary Apartment,40,78705
R- 103 Two Family Bldgs,70,78705
C- 103 Two Family Bldgs,24,78717
C- 104 Three & Four Family Bldgs,321,78717
C- 105 Five or More Family Bldgs,4834,78717
R- 101 Single Family Houses,3414,78717
C- 105 Five or More Family Bldgs,643,78721
C- 106 Mixed Use,14,78721
R- 101 Single Family Houses,620,78721
R- 102 Secondary Apartment,226,78721
R- 103 Two Family Bldgs,296,78721
C- 105 Five or More Family Bldgs,905,78722
C- 106 Mixed Use,24,78722
R- 101 Single Family Houses,103,78722
R- 102 Secondary Apartment,87,78722
R- 103 Two Family Bldgs,60,78722
C- 104 Three & Four Family Bldgs,40,78723
C- 105 Five or More Family Bldgs,3491,78723
C- 106 Mixed Use,45,78723
R- 101 Single Family Houses,2722,78723
R- 102 Secondary Apartment,68,78723
R- 103 Two Family Bldgs,174,78723
C- 105 Five or More Family Bldgs,1540,78724
R- 101 Single Family Houses,1980,78724
R- 102 Secondary Apartment,2,78724
R- 103 Two Family Bldgs,2,78724
C- 105 Five or More Family Bldgs,300,78725
R- 101 Single Family Houses,259,78725
C- 101 Single Family Houses,95,78726
C- 103 Two Family Bldgs,77,78726
C- 104 Three & Four Family Bldgs,150,78726
C- 105 Five or More Family Bldgs,656,78726
R- 101 Single Family Houses,431,78726
R- 103 Two Family Bldgs,2,78726
C- 101 Single Family Houses,1,78727
C- 103 Two Family Bldgs,40,78727
C- 104 Three & Four Family Bldgs,111,78727
C- 105 Five or More Family Bldgs,1497,78727
R- 101 Single Family Houses,192,78727
R- 103 Two Family Bldgs,14,78727
C- 105 Five or More Family Bldgs,242,78728
C- 104 Three & Four Family Bldgs,75,78729
C- 105 Five or More Family Bldgs,381,78729
R- 101 Single Family Houses,183,78729
R- 103 Two Family Bldgs,8,78729
C- 101 Single Family Houses,23,78730
C- 103 Two Family Bldgs,36,78730
C- 104 Three & Four Family Bldgs,32,78730
C- 105 Five or More Family Bldgs,38,78730
R- 101 Single Family Houses,269,78730
R- 102 Secondary Apartment,1,78730
R- 103 Two Family Bldgs,2,78730
C- 103 Two Family Bldgs,8,78731
C- 104 Three & Four Family Bldgs,146,78731
C- 105 Five or More Family Bldgs,1242,78731
R- 101 Single Family Houses,568,78731
R- 102 Secondary Apartment,7,78731
R- 103 Two Family Bldgs,76,78731
R- 101 Single Family Houses,332,78732
R- 102 Secondary Apartment,1,78732
R- 101 Single Family Houses,232,78733
R- 101 Single Family Houses,24,78734
C- 101 Single Family Houses,117,78735
C- 104 Three & Four Family Bldgs,84,78735
C- 105 Five or More Family Bldgs,2088,78735
R- 101 Single Family Houses,538,78735
R- 103 Two Family Bldgs,72,78735
C- 101 Single Family Houses,1,78736
C- 104 Three & Four Family Bldgs,30,78736
C- 105 Five or More Family Bldgs,1263,78736
R- 101 Single Family Houses,223,78736
R- 103 Two Family Bldgs,8,78736
R- 101 Single Family Houses,3,78737
C- 101 Single Family Houses,1,78739
C- 105 Five or More Family Bldgs,151,78739
R- 101 Single Family Houses,2330,78739
R- 102 Secondary Apartment,1,78739
C- 101 Single Family Houses,197,78741
C- 103 Two Family Bldgs,12,78741
C- 104 Three & Four Family Bldgs,495,78741
C- 105 Five or More Family Bldgs,6665,78741
C- 106 Mixed Use,510,78741
R- 101 Single Family Houses,1238,78741
R- 102 Secondary Apartment,92,78741
R- 103 Two Family Bldgs,70,78741
R- 101 Single Family Houses,12,78742
R- 102 Secondary Apartment,3,78742
C- 101 Single Family Houses,7,78744
C- 105 Five or More Family Bldgs,3012,78744
R- 101 Single Family Houses,3716,78744
R- 102 Secondary Apartment,4,78744
R- 103 Two Family Bldgs,43,78744
C- 101 Single Family Houses,389,78745
C- 103 Two Family Bldgs,4,78745
C- 104 Three & Four Family Bldgs,123,78745
C- 105 Five or More Family Bldgs,5142,78745
C- 106 Mixed Use,70,78745
R- 101 Single Family Houses,1106,78745
R- 102 Secondary Apartment,150,78745
R- 103 Two Family Bldgs,286,78745
C- 101 Single Family Houses,50,78746
C- 104 Three & Four Family Bldgs,18,78746
C- 105 Five or More Family Bldgs,356,78746
C- 106 Mixed Use,3,78746
R- 101 Single Family Houses,355,78746
R- 102 Secondary Apartment,5,78746
R- 103 Two Family Bldgs,36,78746
C- 104 Three & Four Family Bldgs,32,78747
C- 105 Five or More Family Bldgs,1867,78747
R- 101 Single Family Houses,3433,78747
R- 102 Secondary Apartment,1,78747
R- 103 Two Family Bldgs,168,78747
C- 101 Single Family Houses,572,78748
C- 103 Two Family Bldgs,38,78748
C- 104 Three & Four Family Bldgs,309,78748
C- 105 Five or More Family Bldgs,5963,78748
C- 106 Mixed Use,2,78748
R- 101 Single Family Houses,3716,78748
R- 102 Secondary Apartment,2,78748
R- 103 Two Family Bldgs,102,78748
C- 104 Three & Four Family Bldgs,6,78749
C- 105 Five or More Family Bldgs,1391,78749
R- 101 Single Family Houses,134,78749
R- 102 Secondary Apartment,2,78749
R- 103 Two Family Bldgs,26,78749
C- 101 Single Family Houses,142,78750
C- 103 Two Family Bldgs,194,78750
C- 104 Three & Four Family Bldgs,8,78750
C- 105 Five or More Family Bldgs,635,78750
R- 101 Single Family Houses,137,78750
R- 102 Secondary Apartment,1,78750
R- 103 Two Family Bldgs,76,78750
C- 104 Three & Four Family Bldgs,4,78751
C- 105 Five or More Family Bldgs,1521,78751
C- 106 Mixed Use,72,78751
R- 101 Single Family Houses,255,78751
R- 102 Secondary Apartment,173,78751
R- 103 Two Family Bldgs,164,78751
C- 103 Two Family Bldgs,4,78752
C- 104 Three & Four Family Bldgs,8,78752
C- 105 Five or More Family Bldgs,2032,78752
R- 101 Single Family Houses,149,78752
R- 102 Secondary Apartment,107,78752
R- 103 Two Family Bldgs,134,78752
C- 103 Two Family Bldgs,25,78753
C- 104 Three & Four Family Bldgs,51,78753
C- 105 Five or More Family Bldgs,5462,78753
R- 101 Single Family Houses,614,78753
R- 102 Secondary Apartment,7,78753
R- 103 Two Family Bldgs,50,78753
C- 104 Three & Four Family Bldgs,24,78754
C- 105 Five or More Family Bldgs,3068,78754
R- 101 Single Family Houses,3289,78754
C- 101 Single Family Houses,23,78756
C- 104 Three & Four Family Bldgs,,78756
C- 105 Five or More Family Bldgs,1071,78756
C- 106 Mixed Use,89,78756
R- 101 Single Family Houses,242,78756
R- 102 Secondary Apartment,64,78756
R- 103 Two Family Bldgs,154,78756
C- 105 Five or More Family Bldgs,1181,78757
C- 106 Mixed Use,344,78757
R- 101 Single Family Houses,726,78757
R- 102 Secondary Apartment,207,78757
R- 103 Two Family Bldgs,230,78757
C- 101 Single Family Houses,22,78758
C- 103 Two Family Bldgs,4,78758
C- 105 Five or More Family Bldgs,6238,78758
C- 106 Mixed Use,281,78758
R- 101 Single Family Houses,129,78758
R- 102 Secondary Apartment,4,78758
R- 103 Two Family Bldgs,12,78758
C- 101 Single Family Houses,3,78759
C- 105 Five or More Family Bldgs,1168,78759
R- 101 Single Family Houses,167,78759
R- 102 Secondary Apartment,4,78759
R- 103 Two Family Bldgs,12,78759
R- 102 Secondary Apartment,1,
